БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, улица Осипенко 12, Самарская область, Россия",21.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1575043,Доска-1-хвойная-50х200,КубичМетр," 10.020"," 0.041",520.1556348,"1 266.14 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",22.02.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1040752,Брус-1-хвойный-40х40,КубичМетр," 60.000"," 0.041",76530.0096,"31 109.76 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",25.05.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр," 110.000"," 0.041",129526.5686,"28 719.86 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",27.02.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1501672,Доска-1-хвойная-28 (необрезная),КубичМетр," 320.000"," 0.041",14020.9504,"1 068.67 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",18.02.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10325253,"Брусок-1-хвойный-50х50мм, 3000мм",Штука," 160.000"," 0.041",6223.6032," 948.72 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",04.12.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10384354,"Доска-2-хвойная-21х90мм, 6000мм",Штука," 50.000"," 0.041",2399.0125,"1 170.25 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",04.09.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10384802,"Брус-2-хвойный-45х96мм, 6000м",Штука," 72.500"," 0.041",3025.6483,"1 017.88 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",27.07.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1289299,Брус-1-хвойный-40х40мм 3м,Штука," 3.000"," 0.041",157.23951,"1 278.37 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",15.05.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1563321,Доска-1-хвойная-50х200 (6000мм),Штука," 14.000"," 0.041",630.17738,"1 097.87 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",16.11.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2038987,Доска-2-хвойная-13,КубичМетр," 71.000"," 0.041",3759.44006,"1 291.46 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",22.02.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 9.180"," 0.041",12476.07863,"33 147.56 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",17.11.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр," 3.120"," 0.041",4459.300154,"34 860.07 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",05.09.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10325253,"Брусок-1-хвойный-50х50мм, 3000мм",Штука," 2.000"," 0.041",90.72398,"1 106.39 "
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",03.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр," 0.300"," 0.041",389.35281,"31 654.70 "
